(8, 7, 7, 7, 7):[20, 49, 54, 73, 65, 0][0, 0, 0, 0, 261, 0]
(16, 16, 16, 16, 16):[25, 17, 9, 1, 2, 0][54, 0, 0, 0, 0, 0]
(7, 7, 7, 7, 7):[0, 0, 0, 3, 7, 89][0, 0, 0, 0, 0, 99]
(8, 7, 8, 16, 7):[0, 1, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(8, 16, 16, 16, 16):[8, 12, 9, 3, 4, 0][36, 0, 0, 0, 0, 0]
(8, 7, 7, 16, 7):[1, 0, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(8, 8, 8, 8, 8):[7, 2, 2, 0, 0, 0][11, 0, 0, 0, 0, 0]
(8, 7, 16, 7, 7):[0, 2, 1, 0, 0, 0][0, 0, 0, 0, 3, 0]
(8, 7, 7, 7, 16):[2, 5, 2, 0, 1, 0][0, 0, 0, 0, 10, 0]
(7, 8, 7, 7, 7):[0, 0, 0, 3, 2, 0][0, 0, 0, 0, 5, 0]
(6, 6, 6, 6, 6):[0, 0, 0, 0, 1, 0][1, 0, 0, 0, 0, 0]
(8, 16, 7, 7, 16):[0, 0, 0, 1, 0, 0][0, 0, 0, 0, 1, 0]
(8, 7, 16, 16, 16):[0, 1, 0, 1, 0, 0][0, 0, 0, 0, 2, 0]
(8, 7, 7, 24, 16):[0, 0, 0, 0, 1, 0][0, 0, 0, 0, 1, 0]
(7, 6, 7, 6, 7):[0, 0, 0, 0, 1, 0][0, 0, 0, 0, 0, 1]
(8, 8, 8, 8, 7):[0, 0, 1, 0, 0, 0][0, 0, 0, 0, 1, 0]
(16, 7, 16, 7, 16):[0, 0, 0, 0, 1, 0][0, 0, 0, 0, 1, 0]
(8, 7, 7, 24, 10):[0, 1, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(8, 7, 8, 8, 7):[0, 1, 1, 0, 0, 0][0, 0, 0, 0, 2, 0]
(8, 7, 7, 7, 8):[0, 0, 1, 0, 0, 0][0, 0, 0, 0, 1, 0]
(8, 7, 24, 16, 7):[1, 0, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(8, 7, 7, 16, 16):[0, 1, 1, 0, 0, 0][0, 0, 0, 0, 2, 0]
(8, 7, 7, 8, 7):[0, 1, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(7, 19, 16, 7, 16):[0, 0, 0, 1, 0, 0][1, 0, 0, 0, 0, 0]
(8, 7, 8, 24, 24):[0, 1, 0, 0, 0, 0][0, 0, 0, 0, 1, 0]
(7, 7, 8, 7, 7):[0, 0, 0, 1, 0, 0][0, 0, 0, 0, 1, 0]
