(18, 18, 18, 18, 18):[88, 78, 83, 65, 84, 0][0, 398, 0, 0, 0, 0]
(8, 8, 8, 8, 8):[0, 2, 0, 0, 1, 72][0, 0, 0, 0, 0, 75]
(18, 18, 18, 18, 9):[0, 1, 0, 1, 0, 0][0, 2, 0, 0, 0, 0]
(22, 22, 22, 22, 22):[2, 2, 0, 0, 0, 0][0, 4, 0, 0, 0, 0]
(2, 2, 2, 2, 2):[1, 1, 0, 0, 0, 0][0, 0, 0, 0, 0, 2]
(9, 9, 9, 9, 9):[1, 4, 3, 3, 2, 0][0, 13, 0, 0, 0, 0]
(18, 18, 8, 8, 8):[0, 0, 0, 1, 0, 0][0, 0, 0, 0, 0, 1]
(18, 9, 9, 9, 9):[0, 1, 0, 1, 0, 0][0, 2, 0, 0, 0, 0]
(20, 9, 9, 9, 9):[0, 0, 0, 0, 1, 0][0, 1, 0, 0, 0, 0]
(18, 9, 20, 20, 9):[0, 1, 0, 0, 0, 0][0, 1, 0, 0, 0, 0]
(18, 18, 18, 9, 18):[0, 0, 0, 1, 0, 0][0, 1, 0, 0, 0, 0]
